RECORD #(BIBLIO),TITLE,AUTHOR,008 Date One,260|b,260|c,CALL #(BIBLIO),TOT CHKOUT,LOUTDATE
b38770350,Fluid mechanics / Frank M. White.,"White, Frank M.",2008,"McGraw-Hill Higher Education,",c2008.,TA357 .W48 2008,16,4/17/2014 11:36
b31157786,"Fundamentals of materials science and engineering : an integrated approach / William D. Callister, Jr.","Callister, William D., Jr., 1940-",2005,"John Wiley & Sons,",c2005.,TA403 .C227 2004,17,3/3/2014 14:38
b27282090,"Materials science and engineering : an introduction / William D. Callister, Jr.","Callister, William D., Jr., 1940-",2000,"Wiley,",c2000.,TA403 .C23 2000,20,1/15/2013 16:33
b31157713,An introduction to materials engineering and science for chemical and materials engineers / Brian S. Mitchell.,"Mitchell, Brian S., 1962-",2004,"John Wiley,",2004,TA403 .M685 2004,15,3/3/2014 15:04
b26538866,The substance of civilization : materials and human history from the stone age to the age of silicon / Stephen L. Sass.,"Sass, Stephen L.",1998,"Arcade Pub. :;""Distributed by Little, Brown and Co.,""",c1998.,TA403 .S335 1998,24,7/17/2014 9:28
b23741260,The science and design of engineering materials / James P. Schaffer ... [et al.],,1995,"Irwin,",c1995,TA403 .S418 1995,54,7/8/2010 17:11
b28580758,The science and design of engineering materials / James P. Schaffer ... [et al].,,1999,"WCB McGraw-Hill,",c1999.,TA403 .S418 1999,33,1/7/2014 17:06
b46551669,Introduction to materials science for engineers / James F. Shackelford.,"Shackelford, James F.",2009,"Pearson Prentice Hall,",c2009.,TA403 .S515 2009,11,3/24/2014 12:24
b34956815,"Mechanics of materials / Ferdinand P. Beer, E. Russell Johnston, Jr., John T. DeWolf.","Beer, Ferdinand P. (Ferdinand Pierre), 1915-2003.",2006,"McGraw-Hill Higher Education,",c2006.,TA405 .B39 2006,12,9/16/2011 9:57
b29782065,"Advanced mechanics of materials / Arthur P. Boresi, Richard J. Schmidt.","Boresi, Arthur P. (Arthur Peter), 1924-",2003,"John Wiley & Sons,",c2003.,TA405 .B66 2003,18,2/10/2013 19:57
b47036242,Applied mechanics of solids / Allan F. Bower.,"Bower, Allan F.",2010,"CRC Press,",c2010.,TA405 .B676 2010,11,4/3/2014 13:17
b23862178,"Mechanics of materials / Roy R. Craig, Jr.","Craig, Roy R., 1934-",1996,"Wiley,",c1996.,TA405 .C89 1996,51,5/31/2010 23:49
b22653624,Mechanical metallurgy,"Dieter, George Ellwood.",1961,"McGraw-Hill,",1961,TA405 .D53 1961,18,10/10/2013 10:18
b24263199,"Mechanics of materials / James M. Gere, Stephen P. Timoshenko.","Gere, James M.",1997,"PWS Pub. Co.,",c1997.,TA405 .G47 1997,12,9/23/2013 10:45
b40762853,Mechanics of materials / R.C. Hibbeler.,"Hibbeler, R. C.",2008,"Prentice Hall,",c2008.,TA405 .H47 2008,18,1/23/2014 12:03
b31887557,Statics and mechanics of materials / R.C. Hibbeler.,"Hibbeler, R. C.",2004,"Pearson/Prentice Hall,",c2004.,TA405 .H48 2004,17,9/5/2012 11:10
b49460572,Statics and mechanics of materials / R.C. Hibbeler.,"Hibbeler, R. C.",2011,"Pearson Prentice Hall,",c2011.,TA405 .H48 2011,17,3/25/2013 18:44
b54794481,Statics and mechanics of materials / R.C. Hibbeler.,"Hibbeler, R. C.",2014,,,TA405 .H493 2014,84,6/13/2014 8:24
b29043025,"Statics and mechanics of materials : an integrated approach / William F. Riley, Leroy D. Sturges, Don H. Morris.","Riley, William F. (William Franklin), 1925-",2002,"J. Wiley,",c2002.,TA405 .R56 2002,11,1/20/2014 13:21
b28952893,Roark's formulas for stress and strain / Warren C. Young and Richard G. Budynas.,"Young, Warren C. (Warren Clarence), 1923-",2002,"McGraw-Hill,",2002,TA407.2 .R6 2002,12,8/22/2013 18:34
b22586003,Fracture of brittle solids / Brian Lawn,"Lawn, Brian R.",1993,"Cambridge University Press,",1993,TA409 .L37 1993,12,6/6/2014 12:56
b23962239,"Nondestructive evaluation : a tool in design, manufacturing, and service / Don E. Bray and Roderic K. Stanley.","Bray, Don E.",1997,"CRC Press,",1997,TA417.2 .B63 1996,12,1/17/2011 10:43
b27254033,Microstructural characterization of materials / David Brandon and Wayne D. Kaplan.,"Brandon, D. G.",1999,"J. Wiley,",c1999.,TA417.23 .B73 1999,28,3/21/2014 16:38
b2856652x,"Transmission electron microscopy and diffractometry of materials / Brent Fultz, James Howe.","Fultz, B. (Brent)",2001,"Springer,",c2001.,TA417.23 .F85 2001,18,10/31/2012 20:36
b24183714,Transmission electron microscopy : a textbook for materials science / David B. Williams and C. Barry Carter.,"Williams, David B. (David Bernard), 1949-",1996,"Plenum Press,",c1996.,TA417.23 .W56 1996,36,9/16/2012 10:55
b46962128,"Transmission electron microscopy : a textbook for materials science / David B. Williams, C. Barry Carter.","Williams, David B. (David Bernard), 1949-",2009,"Springer,",2009,TA417.23 .W56 2009,10,6/13/2014 11:55
b23689018,The physics of creep : creep and creep-resistant alloys / F.R.N. Nabarro and H.L. de Villiers,"Nabarro, F. R. N. (Frank Reginald Nunes), 1916-2006.",1995,"Taylor & Francis,",c1995,TA418.22 .N33 1995,11,5/18/2011 12:34
b35428442,Carbon fibers and their composites / Peter Morgan.,"Morgan, Peter, 1931-",2005,"Taylor & Francis,",2005,TA418.9.C6 M663 2005,15,9/5/2012 12:25
b37651948,"Principles of nano-optics / Lukas Novotny, Bert Hecht.","Novotny, Lukas.",2006,"Cambridge University Press,",2006,TA418.9.N35 N68 2006,18,11/8/2013 11:34
b12289243,Porous media : geometry and transports / Pierre M. Adler,"Adler, Pierre M.",1992,"Butterworth-Heinemann,",c1992,TA418.9.P6 A35 1992,12,11/19/2012 11:21
b31568658,"Thin film materials : stress, defect formation, and surface evolution / L.B. Freund, S. Suresh.","Freund, L. B.",2003,"Cambridge University Press,",2003,TA418.9.T45 F74 2003,13,2/2/2011 12:26
b29012946,The materials science of thin films : deposition and structure / Milton Ohring.,"Ohring, Milton, 1936-",2002,"Academic Press,",2002,TA418.9.T45 O471 2002,19,9/19/2012 11:11
b23941789,Thin-film deposition : principles and practice / Donald L. Smith.,"Smith, Donald L. (Donald Leonard), 1944-",1995,"McGraw-Hill,",c1995.,TA418.9.T45 S65 1995,22,2/2/2014 19:27
b24185474,Properties of concrete / A.M. Neville.,"Neville, Adam M.",1996,"Longman Scientific & Technical,",1996,TA439 .N48 1996,15,2/27/2013 23:19
b28662842,"Carbon nanotubes : synthesis, structure, properties, and applications / Mildred S. Dresselhaus, Gene Dresselhaus, Phaedon Avouris (eds.).",,2001,"Springer,",c2001.,TA455.C3 C38 2001,16,3/19/2011 16:14
b27411540,Carbon nanotubes and related structures : new materials for the twenty-first century / Peter J.F. Harris.,"Harris, Peter J. F. (Peter John Frederich), 1957-",1999,"Cambridge University Press,",1999,TA455.C3 H37 1999,10,3/19/2011 16:14
b23940797,"Physical ceramics : principles for ceramic science and engineering / Yet-ming Chiang, Dunbar P. Birnie III, W. David Kingery.","Chiang, Yet-ming.",1997,"J. Wiley,",c1997.,TA455.C43 C53 1997,16,8/28/2013 11:10
b15622198,"Kunststoffe und ihre Eigenschaften. English;""Plastics for engineers : materials, properties, applications / Hans Domininghaus""","Domininghaus, Hans.",1993,"Hanser Publishers,",c1993,TA455.P5 D6413 1993,10,8/20/2013 17:45
b22655189,"Mechanical properties of polymers and composites / Lawrence E. Nielsen, Robert F. Landel","Nielsen, Lawrence E.",1994,"M. Dekker,",c1994,TA455.P58 N48 1994,11,2/11/2014 11:00
b22340749,Fundamental principles of polymeric materials / Stephen L. Rosen,"Rosen, Stephen L., 1937-",1993,"Wiley,",c1993,TA455.P58 R63 1993,13,4/16/2014 11:55
b26119122,Principles and prevention of corrosion / Denny A. Jones.,"Jones, Denny A.",1996,"Prentice Hall,",c1996.,TA462 .J59 1996,17,1/21/2014 11:19
b30711708,Titanium and titanium alloys : fundamentals and applications / edited by C. Leyens and M. Peters.,,2003,"Wiley-VCH  ;""John Wiley] (distributor),""",c2003.,TA480.T54 T573 2003,11,8/4/2014 14:01
b40142243,"Archive style : photographs & illustrations for U.S. surveys, 1850-1890 / Robin Kelsey.","Kelsey, Robin Earle.",2007,"University of California Press,",c2007.,TA592.6.U6 K45 2007,14,2/13/2014 11:44
b39562360,Structural analysis / R.C. Hibbeler.,"Hibbeler, R. C.",2006,"Pearson/Prentice Hall,",c2006.,TA645 .H47 2006,15,6/2/2014 10:06
b26136776,Structures / Daniel L. Schodek.,"Schodek, Daniel L., 1941-",1998,"Prentice Hall,",c1998.,TA645 .S37 1998,12,1/29/2011 13:36
b30759778,Structures / Daniel L. Schodek.,"Schodek, Daniel L., 1941-",2004,"Pearson/Prentice Hall,",c2004.,TA645 .S37 2004,10,4/4/2013 19:47
b28988383,Concepts and applications of finite element analysis / Robert D. Cook ... [et al.].,,2001,"Wiley,",c2001.,TA646 .C66 2001,10,2/22/2013 10:13
b22456491,Synchrotron X-ray topographic studies of polycrystalline ice / by Fuping Liu,"Liu, Fuping.",1993,,1993,TA714.5 .L58 1993,10,7/18/2014 9:29
b2663983x,Introduction to environmental engineering and science / Gilbert M. Masters.,"Masters, Gilbert M.",1997,"Prentice Hall,",c1997.,TD145 .M33 1997,45,7/8/2012 18:06
b13054909,"Trashing the planet : how science can help us deal with acid rain, depletion of the ozone, and nuclear waste (among other things) / Dixy Lee Ray and Lou Guzzo","Ray, Dixy Lee.",1990,"Regnery Gateway  ;""Distributed by National Book Network,""",c1990,TD174 .R39 1990,10,2/28/2011 11:34
b27930178,"Environmental biotechnology : principles and applications / Bruce E. Rittmann, Perry L. McCarty.","Rittmann, Bruce E.",2001,"McGraw-Hill,",c2001.,TD192.5 .R58 2001,12,6/3/2014 11:11
b24036560,"Environmental modeling : fate and transport of pollutants in water, air, and soil / Jerald Schnoor.","Schnoor, Jerald L.",1996,"J. Wiley,",c1996.,TD423 .S37 1996,13,4/9/2013 10:41
b24056996,Theory and practice of water and wastewater treatment / Ronald L. Droste.,"Droste, Ronald L.",1997,"J. Wiley,",1997,TD430 .D76 1997,14,2/29/2012 14:07
b29470912,"Wastewater engineering : treatment and reuse / Metcalf & Eddy, Inc.",,2003,"McGraw-Hill,",c2003.,TD645 .W293 2003,13,4/30/2013 11:14
b26410734,"Air pollution : its origin and control / Kenneth Wark, Cecil F. Warner, Wayne T. Davis.","Wark, Kenneth, 1927-",1998,"Addison-Wesley,",c1998.,TD883 .W28 1998,12,1/27/2014 11:59
b27870388,Pollution prevention : fundamentals and practice / Paul L. Bishop.,"Bishop, Paul L.",2000,"McGraw-Hill,",c2000.,TD897 .B49 2000,13,3/26/2012 20:51
b22703263,Problems and prospects for nuclear waste disposal policy / edited by Eric B. Herzik and Alvin H. Mushkatel,,1993,"Greenwood Press,",1993,TD898.14.G68 P76 1993,10,2/20/2011 16:16
b15116451,"Brooklyn Bridge, fact and symbol","Trachtenberg, Alan.",1965,"Oxford University Press,",1965,TG25.N53 T7,12,4/22/2012 14:13
b24234825,A place of my own : the education of an amateur builder / by Michael Pollan.,"Pollan, Michael.",1997,"Random House,",1997,TH4890 .P65 1997,16,1/8/2014 9:49
b2336743x,"Heat & cold : mastering the great indoors : a selective history of heating, ventilation, air-conditioning and refrigeration from the ancients to the 1930s / Barry Donaldson & Bernard Nagengast   with an introductory essay by Gershon Meckler","Donaldson, Barry.",1994,"American Society of Heating, Refrigerating and Air-Conditioning Engineers,",c1994,TH7215 .D66 1994,14,9/19/2013 11:39
b15677229,Tribology : friction and wear of engineering materials / I.M. Hutchings,"Hutchings, Ian M.",1992,"Edward Arnold,",1992,TJ1075 .H88 1992,11,11/14/2011 11:25
b23293408,Engineering tribology / J.A. Williams,"Williams, J. A. (John Austin), 1948-",1994,"Oxford University Press,",1994,TJ1075 .W568 1994,10,9/27/2011 10:37
b24175389,"Energy, a guidebook / Janet Ramage.","Ramage, Janet, 1932-",1997,"Oxford University Press,",1997,TJ163.2 .R345 1997,20,9/10/2012 11:37
b3578085x,"Probabilistic robotics / Sebastian Thrun, Wolfram Burgard, Dieter Fox.","Thrun, Sebastian, 1967-",2005,"MIT Press,",c2005.,TJ211 .T575 2005,19,1/20/2014 13:23
b22462375,"Mobile robots : inspiration to implementation / Joseph L. Jones, Anita M. Flynn","Jones, Joseph L., 1953-",1993,"A.K. Peters,",c1993,TJ211.415 .J65 1993,18,10/12/2012 13:03
b24162899,Modern control engineering / Katsuhiko Ogata.,"Ogata, Katsuhiko.",1997,"Prentice Hall,",c1997.,TJ213 .O28 1997,55,7/9/2012 19:48
b29613085,Modern control engineering / Katsuhiko Ogata.,"Ogata, Katsuhiko.",2002,"Prentice Hall,",c2002.,TJ213 .O28 2002,27,10/8/2013 13:52
b47343163,Modern control engineering / Katsuhiko Ogata.,"Ogata, Katsuhiko.",2010,"Prentice Hall,",c2010.,TJ213 .O28 2010,15,8/21/2014 19:08
b23556134,Computational aids in control systems using MATLAB / Hadi Saadat,"Saadat, Hadi.",1993,"McGraw-Hill,",c1993,TJ213 .S113 1993,13,3/31/2010 9:38
b26435469,Modern control system theory and design / Stanley M. Shinners.,"Shinners, Stanley M.",1998,"J. Wiley,",c1998.,TJ213 .S455443 1998,13,5/4/2011 13:00
b36507519,"Feedback control of dynamic systems / Gene F. Franklin, J. David Powell, Abbas Emami-Naeini.","Franklin, Gene F.",2006,"Pearson Prentice Hall,",c2006.,TJ216 .F723 2006,19,1/9/2014 11:49
b2915165x,"Feedback control of dynamic systems / Gene F. Franklin, J. David Powell, Abbas Emami-Naeini.","Franklin, Gene F.",2002,"Prentice Hall PTR,",2002,TJ216 .F7231 2002,16,4/9/2014 11:19
b27440795,"Feedback control systems / Charles L. Phillips, Royce D. Harbor.","Phillips, Charles L.",2000,"Prentice Hall,",2000,TJ216 .P54 2000,18,9/16/2013 11:29
b2643667x,"Digital control of dynamic systems / Gene F. Franklin, J. David Powell, Michael L. Workman.","Franklin, Gene F.",1998,"Addison-Wesley,",c1998.,TJ223.M53 F73 1998,27,7/13/2013 17:23
b35257696,Machine design : an integrated approach / Robert L. Norton.,"Norton, Robert L.",2006,"Pearson Prentice Hall,",c2006.,TJ230 .N64 2006,12,5/1/2013 14:10
b38962299,"Shigley's mechanical engineering design / Richard G. Budynas, J. Keith Nisbett.","Budynas, Richard G. (Richard Gordon)",2008,"McGraw-Hill,",c2008.,TJ230 .S5 2008,16,9/16/2014 11:27
b27211824,An introduction to combustion : concepts and applications / Stephen R. Turns.,"Turns, Stephen R.",2000,"McGraw-Hill,",2000,TJ254.5 .T88 2000,11,10/7/2013 11:45
b38742202,"Thermodynamics : an engineering approach / Yunus A. û engel, Michael A. Boles.","û engel, Yunus A.",2008,"McGraw-Hill Higher Education,",c2008.,TJ265 .C43 2008,10,9/10/2012 11:37
b33946164,"Nanoscale energy transport and conversion : a parallel treatment of electrons, molecules, phonons, and photons / Gang Chen.","Chen, Gang, PhD.",2005,"Oxford University Press,",2005,TJ265 .C497 2005,11,1/27/2014 11:56
b27332895,"Fundamentals of engineering thermodynamics / Michael J. Moran, Howard N. Shapiro.","Moran, Michael J.",2000,"J. Wiley & Sons,",c2000.,TJ265 .M66 2000,11,3/30/2013 10:41
b29954253,"Fundamentals of engineering thermodynamics / Michael J. Moran, Howard N. Shapiro.","Moran, Michael J.",2004,"Wiley,",c2004.,TJ265 .M66 2004,25,9/29/2014 17:56
b40343479,"Fundamentals of engineering thermodynamics / Michael J. Moran, Howard N. Shapiro.","Moran, Michael J.",2008,"Wiley,",c2008.,TJ265 .M66 2008,16,6/23/2012 13:56
b49460559,Fundamentals of engineering thermodynamics / Michael J. Moran ... [et al.].,,2011,"Wiley,",c2011.,TJ265 .M66 2011,14,6/13/2014 16:19
b42016186,"Energy systems and sustainability / edited by Godfrey Boyle, Bob Everett and Janet Ramage.",,2003,"Oxford University Press in association with the Open University,",2003,TJ808 .E59 2003,13,10/4/2013 11:27
b46883678,Sustainable energy--without the hot air / David J.C. MacKay.,"MacKay, David J. C.",2009,"UIT,",c2009.,TJ808 .M335 2009,13,1/31/2014 11:18
b39357181,Renewable energy / edited by Godfrey Boyle.,,2004,"Oxford University Press in association with the Open University,",c2004.,TJ808 .R42 2004,11,2/22/2014 17:18
b35255973,Sustainable energy : choosing among options / Jefferson W. Tester ... [et al.].,,2005,"MIT Press,",2005,TJ808 .S85 2005,17,1/24/2014 11:20
b23845478,Solar building architecture / edited by Bruce Anderson.,,1990,"MIT Press,",c1990.,TJ809.95 .S68 1988 v.9,11,4/11/2010 23:35
b38358827,"Solar engineering of thermal processes / John A. Duffie, William A. Beckman.","Duffie, John A.",2006,"Wiley,",c2006.,TJ810 .D82 2006,15,9/9/2012 8:35
b34934182,"Solar energy : fundamentals, design, modelling and applications / G.N. Tiwari.","Tiwari, G. N.",2004,"Narosa Pub. House,","2004, c2002.",TJ810 .T58 2004,10,12/9/2010 23:44
b23508450,Wind energy comes of age / Paul Gipe,"Gipe, Paul.",1995,"Wiley,",c1995,TJ820 .G56 1995,23,11/30/2011 10:24
b22755639,Wind power for home & business : renewable energy for the 1990s and beyond / Paul Gipe,"Gipe, Paul.",1993,"Chelsea Green Pub. Co.,",c1993,TJ820 .G57 1993,20,8/4/2010 12:33
b29085573,Wind energy : handbook / Tony Burton ... [et al.].,,2001,"J. Wiley,",c2001.,TJ820 .H35 2001,14,4/7/2013 15:55
b29504788,"Wind energy explained : theory, design and application / J.F. Manwell, J.G. McGowan and A.L. Rogers.","Manwell, J. F.",2002,"Wiley,",c2002.,TJ820 .M374 2002,23,6/24/2013 20:56
b36837428,"Windkraftanlagen. English;""Wind turbines : fundamentals, technologies, application, and economics / Erich Hau.""","Hau, E. (Erich)",2006,"Springer,",c2006.,TJ828 .H3813 2006,12,1/16/2012 15:48
b10978975,Wind turbine technology : fundamental concepts of wind turbine engineering / edited by David A. Spera,,1994,"ASME Press,",1994,TJ828 .W563 1994,19,10/26/2011 17:21
b36690107,"Introduction û? la microfluidique. English;""Introduction to microfluidics / Patrick Tabeling   translated by Suelin Chen.""","Tabeling, P.",2005,"Oxford University Press,",2005,TJ853 .T33 2005,11,10/1/2013 11:00
b48797704,Micro- and nanoscale fluid mechanics : transport in microfluidic devices / Brian Kirby.,"Kirby, Brian (Brian J.)",2010,"Cambridge University Press,",2010,TJ853.4.M53 K57 2010,12,5/27/2014 11:23
b23528321,Solar electricity / edited by Tomas Markvart with Klaus Bogus ... [et al.],,1994,"Wiley,",1994,TK1087 .S66 1994,13,10/5/2011 17:42
b24095485,"Electronics : a survey of electrical engineering principles / Robert Boylestad, Louis Nashelsky.","Boylestad, Robert L.",1996,"Prentice Hall,",c1996.,TK146 .B79 1996,60,2/1/2014 14:50
b28940295,Electrical engineering : principles and applications / Allan R. Hambley.,"Hambley, Allan R.",2002,"Prentice Hall,",c2002.,TK146 .H22 2002,23,3/2/2013 14:22
b15691640,Fundamentals of engineering electromagnetics / David K. Cheng,"Cheng, David K. (David Keun), 1917-",1993,"Addison-Wesley Pub. Co.,",c1993,TK153 .C442 1993,68,5/24/2012 15:09
b23858412,Wind energy in America : a history / by Robert W. Righter.,"Righter, Robert W.",1996,"University of Oklahoma Press,",1996,TK1541 .R54 1996,12,3/2/2011 23:26
b2892714x,"Handbook of batteries / David Linden, editor, Thomas B. Reddy, editor.",,2002,"McGraw-Hill,",2002,TK2901 .H36 2002,11,10/8/2012 11:52
b26807245,Handbook of battery materials / Jû§rgen O. Besenhard (ed.).,,1999,"Wiley-VCH,",c1999.,TK2901 .H364 1999,16,4/19/2011 14:16
b12293040,"Fuel cell handbook / A.J. Appleby, F.R. Foulkes","Appleby, A. J., 1940-",1989,"Van Nostrand Reinhold,",c1989,TK2931 .A67 1989,23,5/30/2011 14:28
b2352361x,Solar cells and their applications / edited by Larry D. Partain,,1995,"Wiley,",c1995,TK2960 .S652 1995,12,1/7/2010 8:01
b35428405,Principles of electronic materials and devices / S.O. Kasap.,"Kasap, S. O. (Safa O.)",2006,"McGraw-Hill,",c2006.,TK453 .K26 2006,10,5/9/2011 20:17
b29614843,High reliability magnetic devices : design and fabrication / Colonel Wm. T. McLyman.,"McLyman, Colonel William T., 1932-",2002,"Marcel Dekker,",c2002.,TK454.4.M3 M35 2002,13,9/6/2012 10:40
b27470337,Modern magnetic materials : principles and applications / Robert C. O'Handley.,"O'Handley, Robert C., 1942-",2000,"Wiley,",c2000.,TK454.4.M3 O353 2000,21,1/3/2014 8:25
b27607069,Communication systems / Simon Haykin.,"Haykin, Simon S., 1931-",2001,"Wiley,",c2001.,TK5101 .H37 2001,25,1/25/2011 12:14
b27607124,Modern digital and analog communication systems / B.P. Lathi.,"Lathi, B. P. (Bhagwandas Pannalal)",1998,"Oxford University Press,",1998,TK5101 .L333 1998,17,1/6/2014 8:31
b22827274,"Digital signal processing : a practical approach / Emmanuel C. Ifeachor, Barrie W. Jervis","Ifeachor, Emmanuel C.",1993,"Addison-Wesley,",c1993,TK5102 .I33 1993,16,8/8/2012 14:59
b22339346,"Array signal processing : concepts and techniques / Don H. Johnson, Dan E. Dudgeon","Johnson, Don H.",1993,"Prentice Hall,",1993,TK5102.5 .J615 1993,11,6/13/2011 15:49
b22415907,Fundamentals of statistical signal processing : estimation theory / Steven M. Kay,"Kay, Steven M., 1951-",1993,"Prentice-Hall, Inc.,",c1993,TK5102.5 .K379 1993,20,2/13/2014 11:44
b11968643,Transforms in signals and systems / Peter Kraniauskas,"Kraniauskas, Peter.",1992,"Addison-Wesley,",c1992,TK5102.5 .K665 1992,11,3/1/2012 12:32
b13942840,Digital signal processing [by] Alan V. Oppenheim [and] Ronald W. Schafer,"Oppenheim, Alan V., 1937-",1975,Prentice-Hall,c1975,TK5102.5 .O245,23,2/18/2014 13:07
b22828886,An introduction to signal detection and estimation / H. Vincent Poor,"Poor, H. Vincent.",1994,"Springer-Verlag,",c1994,TK5102.5 .P654 1994,17,3/19/2014 10:49
b24185553,"Introduction to random signals and applied Kalman filtering : with Matlab exercises and solutions / Robert Grover Brown, Patrick Y.C. Hwang.","Brown, Robert Grover.",1997,"John Wiley & Sons,",c1997.,TK5102.9 .B75 1997,16,6/15/2012 9:02
b27695876,Digital signal processing : spectral computation and filter design / Chi-Tsong Chen.,"Chen, Chi-Tsong.",2001,"Oxford University Press,",2001,TK5102.9 .C476 2001,10,2/27/2014 15:24
b23759458,Time-frequency analysis / Leon Cohen,"Cohen, Leon.",1995,"Prentice Hall PTR,",c1995,TK5102.9 .C557 1995,19,3/30/2010 9:42
b23666468,"Fourier transforms : an introduction for engineers / by Robert M. Gray, Joseph W. Goodman","Gray, Robert M., 1943-",1995,"Kluwer Academic Publishers,",c1995,TK5102.9 .G73 1995,29,2/26/2013 9:13
b29085561,"Digital signal processing : a practical approach / Emmanuel C. Ifeachor, Barrie W. Jervis.","Ifeachor, Emmanuel C.",2002,"Prentice Hall,",c2002.,TK5102.9 .I34 2002,14,7/25/2012 12:28
b29754392,"Structure and interpretation of signals and systems / Edward A. Lee, Pravin Varaiya.","Lee, Edward A., 1957-",2003,"Addison-Wesley,",c2003.,TK5102.9 .L43 2003,13,9/12/2011 15:21
b24173344,Understanding digital signal processing / Richard G. Lyons.,"Lyons, Richard G., 1948-",1997,"Addison Wesley Pub. Co.,",c1997.,TK5102.9 .L96 1997,24,2/17/2012 12:23
b27331465,A wavelet tour of signal processing / Stû?phane Mallat.,"Mallat, S. G. (Stû?phane G.)",1999,"Academic,",c1999.,TK5102.9 .M34 1999,13,3/26/2010 17:47
b23689080,Detection of signals in noise,"McDonough, Robert N.",1995,"Academic Press,",c1995,TK5102.9 .M39 1995,10,9/25/2013 17:14
b35257751,Digital signal processing : a computer based approach / Sanjit K. Mitra.,"Mitra, Sanjit Kumar.",2006,"McGraw-Hill,",c2006.,TK5102.9 .M57 2006,22,9/5/2013 11:52
b27835704,"Discrete-time signal processing / Alan V. Oppenheim, Ronald W. Schafer, with John R. Buck.","Oppenheim, Alan V., 1937-",1999,"Prentice Hall,",c1999.,TK5102.9 .O67 1999,23,3/25/2014 18:05
b47305319,"Discrete-time signal processing / Alan V. Oppenheim, Ronald W. Schafer.","Oppenheim, Alan V., 1937-",2010,"Prentice Hall, an imprint of Pearson,",c2010.,TK5102.9 .O67 2010,12,5/29/2014 12:15
b24099995,Introduction to signal processing / Sophocles J. Orfanidis.,"Orfanidis, Sophocles J.",1996,"Prentice Hall,",c1996.,TK5102.9 .O73 1996,20,10/14/2011 15:43
b24215600,A course in digital signal processing / Boaz Porat.,"Porat, Boaz.",1997,"John Wiley,",1997,TK5102.9 .P66 1997,18,6/2/2014 19:16
b37428639,"Digital signal processing / John G. Proakis, Dimitris G. Manolakis.","Proakis, John G.",2007,"Pearson Prentice Hall,",c2007.,TK5102.9 .P757 2007,13,5/29/2014 13:49
b35257684,Fundamentals of digital signal processing using MATLAB / Robert J. Schilling and Sandra L. Harris.,"Schilling, Robert J. (Robert Joseph), 1947-",2004,"Nelson,",c2005.,TK5102.9 .S365 2005,10,10/26/2012 16:34
b28983129,The scientist and engineer's guide to digital signal processing / by Steven W. Smith.,"Smith, Steven W.",1997,"California Technical Pub.,",c1997.,TK5102.9 .S57 1997,13,1/23/2014 14:50
b2890431x,"Probability and random processes with applications to signal processing / Henry Stark, John W. Woods.","Stark, Henry, 1938-",2002,"Prentice Hall,",c2002.,TK5102.9 .S717 2002,10,10/4/2011 11:37
b29737308,Digital signal processing with examples in MATLAB / Samuel D. Stearns.,"Stearns, Samuel D.",2003,"CRC Press,",c2003.,TK5102.9 .S719 2003,18,2/17/2012 12:01
b23883042,"Signal processing algorithms in MATLAB / Samuel D. Stearns, Ruth A. David.","Stearns, Samuel D.",1996,"Prentice Hall,",c1996 +,TK5102.9 .S72 1996,13,2/17/2012 12:01
b2409996x,"Wavelets and subband coding / Martin Vetterli, Jelena KovaŸ‡eviŸ .","Vetterli, Martin.",1995,"Prentice Hall PTR,",c1995.,TK5102.9 .V48 1995,13,9/28/2011 11:10
b3547936x,Wireless communications / Andrea Goldsmith.,"Goldsmith, Andrea, 1964-",2005,"Cambridge University Press,",2005,TK5103.2 .G65 2005,10,7/12/2012 9:55
b29085627,Wireless communications  : principles and practice / Theodore S. Rappaport.,"Rappaport, Theodore S., 1960-",2002,"Prentice Hall PTR,",2002,TK5103.2 .R37 2002,28,9/19/2011 11:21
b29576684,Fiber-optic communication systems / Govind P. Agrawal.,"Agrawal, G. P. (Govind P.), 1951-",2002,"Wiley-Interscience,",c2002.,TK5103.59 .A37 2002,11,3/30/2010 11:22
b33429418,Fiber optic communications / Joseph C. Palais.,"Palais, Joseph C.",2005,"Pearson/Prentice Hall,",c2005.,TK5103.59 .P34 2005,12,9/23/2013 11:18
b28110146,Digital communications / John G. Proakis.,"Proakis, John G.",2001,"McGraw-Hill,",c2001.,TK5103.7 .P76 2001,17,2/7/2013 11:02
b23582480,"City of bits : space, place, and the infobahn / William J. Mitchell","Mitchell, William J.",1995,"MIT Press,",c1995,TK5105.5 .M57 1995,15,2/23/2010 11:24
b23883364,Computer networks / Andrew S. Tanenbaum.,"Tanenbaum, Andrew S., 1944-",1996,"Prentice Hall PTR,",1996,TK5105.5 .T36 1996,28,2/4/2014 11:17
b27132699,Inventing the Internet / Janet Abbate.,"Abbate, Janet.",1999,"MIT Press,",c1999.,TK5105.875.I57 A23 1999,12,4/8/2014 11:22
b37821477,Google's PageRank and beyond : the science of search engine rankings / Amy N. Langville and Carl D. Meyer.,"Langville, Amy N.",2006,"Princeton University Press,",c2006.,TK5105.884 .L36 2006,12,11/2/2013 14:51
b30830916,The elements of user experience : user-centered design for the web / Jesse James Garrett.,"Garrett, Jesse James.",2003,"American Institute of Graphic Arts  ;""New Riders,""",c2003.,TK5105.888 .G377 2003,11,9/20/2013 11:08
